Year;blue Satisfaction;red Satisfaction;yellow Satisfaction;brown Satisfaction
1175;28.0;34.0;35.0;31.0
1180;28.0;34.0;36.0;31.0
1185;28.0;34.0;36.0;31.0
1190;28.0;35.0;36.0;31.0
1195;29.0;35.0;36.0;31.0
1200;28.0;35.0;36.0;31.0
1205;29.0;36.0;37.0;31.0
1210;29.0;36.0;37.0;31.0
1215;29.0;36.0;37.0;31.0
1220;29.0;36.0;37.0;31.0
1225;29.0;36.0;37.0;32.0
1230;29.0;36.0;37.0;32.0
1235;29.0;36.0;37.0;32.0
1240;29.0;36.0;38.0;32.0
1245;29.0;36.0;38.0;32.0
1250;29.0;36.0;38.0;32.0
1255;29.0;37.0;38.0;32.0
1260;30.0;37.0;38.0;32.0
1265;29.0;37.0;38.0;32.0
1270;29.0;37.0;38.0;32.0
1275;30.0;37.0;39.0;32.0
1280;30.0;37.0;38.0;32.0
1285;30.0;38.0;38.0;32.0
1290;30.0;38.0;39.0;32.0
1295;30.0;38.0;39.0;32.0
1300;30.0;39.0;39.0;32.0
1305;30.0;39.0;39.0;32.0
1310;30.0;39.0;39.0;32.0
1315;30.0;39.0;39.0;33.0
1320;30.0;39.0;39.0;33.0
1325;30.0;39.0;39.0;33.0
1330;31.0;39.0;39.0;33.0
1335;31.0;39.0;39.0;33.0
1340;31.0;39.0;39.0;34.0
1345;31.0;39.0;39.0;34.0
1350;30.0;39.0;39.0;34.0
1355;30.0;39.0;39.0;34.0
1360;30.0;39.0;39.0;35.0
1365;30.0;39.0;39.0;35.0
1370;30.0;39.0;39.0;35.0
1375;30.0;39.0;39.0;35.0
1380;30.0;39.0;40.0;35.0
1385;30.0;39.0;40.0;35.0
1390;30.0;39.0;40.0;35.0
1395;30.0;39.0;40.0;36.0
1400;30.0;40.0;40.0;36.0
1405;30.0;40.0;40.0;36.0
1410;30.0;40.0;40.0;36.0
1415;31.0;40.0;40.0;36.0
1420;30.0;40.0;40.0;36.0
1425;30.0;40.0;40.0;36.0
1430;31.0;41.0;40.0;36.0
1435;31.0;41.0;40.0;36.0
1440;32.0;41.0;40.0;36.0
1445;32.0;41.0;40.0;36.0
1450;31.0;41.0;40.0;36.0
1455;32.0;41.0;40.0;36.0
1460;32.0;41.0;40.0;36.0
1465;32.0;41.0;40.0;36.0
1470;33.0;41.0;40.0;36.0
1475;33.0;41.0;40.0;36.0
1480;33.0;41.0;40.0;36.0
1485;33.0;41.0;40.0;36.0
1490;33.0;42.0;40.0;36.0
1495;33.0;42.0;40.0;37.0
1500;33.0;42.0;40.0;37.0
1505;33.0;42.0;40.0;37.0
1510;33.0;42.0;40.0;37.0
1515;34.0;42.0;40.0;37.0
1520;34.0;42.0;40.0;38.0
1525;34.0;42.0;40.0;38.0
1530;34.0;42.0;40.0;38.0
1535;34.0;42.0;40.0;38.0
1540;35.0;42.0;40.0;38.0
1545;35.0;42.0;40.0;38.0
1550;35.0;42.0;40.0;38.0
1555;35.0;42.0;40.0;38.0
1560;35.0;42.0;40.0;38.0
