SignallingCost	40
DistanceToBestFriend	 	18	32	1	7	26	22	53	90	79	30	2	41	27	53	13	38	81	3	73	24	7	31	23	43	38	71	27	26	43	48	58	47	1	36	55	53	14	4	4	4	51	4	54	29	46	40	36	43	 	17	24	22	10	1	3	18	5	3	8	37	 	36	2	34	5	5	17	8	24	2	4	27	 	22	4	23	6	 	12	12	9	25	36	1	1	40	7	32	15	9	46	12	35	19	26	18	37	34	 
DistanceToBestFriend	 	18	33	10	29	19	8	50	48	78	 	15	18	37	50	18	 	22	74	23	22	35	5	40	18	 	1	 	12	 	40	47	3	13	36	3	43	38	59	 	4	4	57	29	49	19	1	20	7	8	33	46	45	15	22	41	36	12	7	10	12	30	16	13	 	15	 	5	15	10	4	18	5	 	25	11	22	15	16	14	15	5	7	8	9	8	 	6	23	18	9	8	 	26	 	 	41	45	36	25
DistanceToBestFriend	 	1	88	 	27	 	3	60	18	78	44	5	9	68	76	45	25	13	36	 	44	33	33	2	9	2	68	6	70	35	36	2	9	45	29	55	46	3	5	 	11	33	56	8	 	1	3	50	34	12	30	22	21	19	27	16	5	13	26	11	31	5	 	29	35	4	4	 	 	14	11	16	19	 	31	21	4	 	 	 	18	27	10	4	5	5	5	 	18	 	5	 	10	 	 	35	16	10	47	7
DistanceToBestFriend	 	2	95	 	62	34	 	26	79	27	83	48	76	 	69	64	5	40	48	69	20	26	77	62	72	28	9	50	56	38	68	 	 	15	 	7	10	4	60	52	17	4	30	 	47	18	10	40	16	30	 	3	 	45	3	2	42	 	37	18	30	4	12	7	16	11	 	25	15	 	26	 	 	 	5	5	11	18	 	9	2	6	2	26	6	25	10	27	9	18	30	1	1	11	40	37	26	5	45	 
DistanceToBestFriend	 	 	4	55	46	4	 	77	45	70	12	32	73	 	38	43	16	63	23	74	72	 	32	 	56	 	43	1	 	6	32	 	41	8	42	3	5	26	52	 	39	5	5	30	5	 	2	 	2	13	37	30	29	28	9	8	25	 	 	21	27	25	13	 	15	2	21	16	1	26	28	 	29	1	1	 	23	20	20	13	4	30	15	16	 	 	 	21	3	6	27	4	13	31	18	26	10	15	28	23
DistanceToBestFriend	 	6	51	13	81	27	2	51	32	42	 	55	49	 	43	 	27	11	35	1	1	9	5	41	3	49	8	27	5	61	9	21	 	26	57	17	2	27	2	 	3	 	20	 	7	2	12	2	50	27	5	48	20	2	23	8	15	19	 	3	31	15	3	8	27	9	 	29	1	1	25	22	2	18	1	16	7	19	19	10	9	5	2	3	 	3	3	 	9	7	21	16	 	22	26	25	19	 	41	36
DistanceToBestFriend	 	29	14	13	2	46	8	 	3	58	64	55	9	60	21	3	56	28	4	17	 	22	58	23	43	32	12	 	62	38	30	 	 	6	 	 	23	9	3	45	20	8	1	 	49	24	1	1	48	8	10	3	7	15	3	32	22	5	5	23	 	27	5	25	6	20	20	38	17	1	25	 	 	11	15	13	22	16	 	19	14	26	23	2	11	2	17	11	7	15	62	2	7	49	9	7	 	2	22	26
DistanceToBestFriend	 	 	3	91	 	20	47	78	79	2	59	9	63	63	37	36	1	23	39	40	 	49	63	11	38	65	29	26	1	67	18	36	6	39	28	8	27	9	5	11	23	6	2	5	5	 	8	 	1	 	11	34	26	23	8	30	39	 	5	14	5	14	28	5	20	 	1	3	17	4	13	13	 	14	21	14	23	 	 	15	1	6	15	7	20	34	 	1	15	23	9	1	29	1	15	32	8	15	8	9
DistanceToBestFriend	 	74	3	61	62	1	 	76	8	83	75	 	77	54	1	1	53	56	38	 	1	22	48	52	27	11	 	44	28	3	51	63	31	9	28	 	33	2	22	 	 	44	9	 	 	8	30	6	12	10	18	46	36	6	16	18	32	11	1	10	12	 	 	 	14	13	24	27	18	 	4	25	15	6	4	1	9	14	13	6	15	6	3	5	21	6	20	 	5	4	 	 	 	29	25	15	25	 	16	6
DistanceToBestFriend	 	4	11	83	29	4	65	15	69	56	1	27	79	28	84	79	22	72	59	52	13	20	 	21	56	2	58	32	58	60	52	5	64	 	30	55	8	14	58	 	44	 	34	7	 	 	2	30	5	2	45	2	1	 	44	11	16	34	 	40	10	30	11	27	26	22	11	2	24	13	 	20	16	11	 	 	 	30	 	5	12	5	9	 	22	8	5	22	16	6	27	20	4	3	 	25	4	24	20	18
