Year;Food
61;7.0
61;7.0
61;7.0
62;7.0
62;7.0
62;7.0
63;7.0
63;7.0
63;7.0
64;7.0
64;7.0
64;7.0
65;7.0
65;7.0
65;7.0
66;7.0
66;8.0
66;8.0
67;8.0
67;8.0
67;8.0
68;8.0
68;8.0
68;8.0
69;8.0
69;8.0
69;9.0
70;9.0
70;9.0
70;9.0
71;9.0
71;9.0
71;9.0
72;9.0
72;9.0
72;9.0
73;9.0
73;9.0
73;9.0
74;9.0
74;9.0
74;9.0
75;9.0
75;9.0
75;9.0
76;9.0
76;9.0
76;9.0
77;10.0
77;10.0
77;10.0
78;10.0
78;10.0
78;10.0
79;10.0
79;10.0
79;10.0
80;11.0
80;11.0
80;11.0
81;11.0
81;11.0
81;12.0
82;12.0
82;13.0
82;14.0
83;14.0
83;14.0
83;14.0
84;14.0
84;15.0
84;15.0
85;15.0
85;15.0
85;16.0
86;16.0
86;16.0
86;16.0
87;16.0
87;17.0
87;18.0
88;18.0
88;18.0
88;18.0
89;18.0
89;18.0
89;18.0
90;18.0
90;19.0
90;19.0
91;19.0
91;19.0
91;19.0
92;19.0
92;19.0
92;19.0
93;19.0
93;19.0
93;19.0
94;19.0
94;19.0
94;19.0
95;19.0
95;19.0
95;19.0
96;19.0
96;19.0
96;19.0
97;19.0
97;19.0
97;20.0
98;20.0
98;20.0
98;20.0
99;20.0
99;20.0
99;20.0
100;21.0
100;21.0
100;21.0
101;21.0
101;21.0
101;21.0
102;21.0
102;21.0
102;21.0
103;21.0
103;21.0
103;21.0
104;21.0
104;21.0
104;21.0
105;22.0
105;22.0
105;22.0
106;23.0
106;24.0
106;24.0
107;24.0
107;24.0
107;24.0
108;24.0
108;25.0
108;25.0
109;25.0
109;25.0
109;25.0
110;25.0
110;25.0
110;25.0
111;25.0
111;25.0
111;25.0
112;25.0
112;25.0
112;25.0
113;25.0
113;25.0
113;25.0
114;26.0
114;26.0
114;27.0
115;28.0
115;29.0
115;29.0
116;29.0
116;29.0
116;30.0
117;30.0
117;30.0
117;30.0
118;30.0
118;30.0
118;30.0
119;30.0
119;30.0
119;30.0
120;30.0
120;30.0
120;30.0
121;30.0
121;30.0
121;30.0
122;31.0
122;31.0
122;31.0
123;31.0
123;31.0
123;31.0
124;31.0
124;31.0
124;31.0
125;31.0
125;31.0
125;31.0
126;31.0
126;31.0
126;31.0
127;31.0
127;31.0
127;32.0
128;32.0
128;32.0
128;32.0
129;32.0
129;32.0
129;32.0
130;32.0
130;32.0
130;32.0
131;32.0
131;32.0
131;32.0
132;32.0
132;33.0
132;33.0
133;33.0
133;33.0
133;33.0
134;33.0
134;33.0
134;33.0
135;33.0
135;33.0
135;33.0
136;34.0
136;34.0
136;34.0
137;34.0
137;34.0
137;34.0
138;34.0
138;34.0
138;34.0
139;34.0
139;34.0
139;34.0
140;34.0
140;34.0
140;35.0
141;35.0
141;35.0
141;35.0
142;35.0
142;35.0
142;35.0
143;35.0
143;35.0
143;35.0
144;36.0
144;36.0
144;37.0
145;37.0
145;37.0
145;38.0
146;38.0
146;38.0
146;38.0
147;38.0
147;38.0
147;38.0
148;38.0
148;38.0
148;38.0
149;41.0
149;41.0
149;41.0
150;41.0
150;41.0
150;41.0
151;41.0
151;41.0
151;41.0
152;41.0
152;41.0
152;42.0
153;42.0
153;42.0
153;42.0
154;42.0
154;42.0
154;42.0
155;42.0
155;42.0
155;42.0
156;42.0
156;42.0
156;42.0
157;43.0
157;43.0
157;43.0
158;43.0
158;43.0
158;43.0
159;43.0
159;43.0
159;43.0
160;43.0
160;43.0
160;43.0
161;43.0
161;43.0
161;43.0
162;45.0
162;45.0
162;45.0
163;45.0
163;45.0
163;45.0
164;45.0
164;45.0
164;45.0
165;45.0
165;46.0
165;46.0
166;46.0
166;46.0
166;46.0
167;46.0
167;47.0
167;47.0
168;47.0
168;47.0
168;47.0
169;47.0
169;47.0
169;47.0
170;47.0
170;47.0
170;47.0
171;48.0
171;48.0
171;49.0
172;49.0
172;50.0
172;51.0
173;51.0
173;51.0
173;51.0
174;51.0
174;51.0
174;51.0
175;51.0
175;51.0
175;51.0
176;51.0
176;51.0
176;51.0
